32 8 32
0,28875 0,28375 0,6259375
28 3 24 False
26 5 8 False
26 5 24 False
28 5 24 False
30 0 25 True
29 0 25 True
28 2 25 True
26 0 17 True
26 0 9 True
26 4 9 True
26 0 1 True
0 4 25 True
0 4 9 True
0 4 17 True
0 4 1 True
0 2 25 True
0 2 9 True
0 2 1 True
0 2 17 True
18 4 9 True
18 0 9 True
25 0 17 True
25 0 9 True
25 0 1 True
26 0 25 True
26 4 25 True
1 0 1 True
1 0 9 True
1 0 17 True
1 0 25 True
2 0 25 True
2 0 9 True
2 0 17 True
2 0 1 True
3 0 2 True
3 0 10 True
3 0 18 True
5 0 1 True
5 0 9 True
5 0 17 True
5 0 25 True
6 0 25 True
6 0 17 True
6 0 9 True
6 0 1 True
9 0 1 True
9 0 9 True
9 0 17 True
9 0 25 True
10 0 9 True
10 0 17 True
10 0 25 True
10 0 1 True
13 0 25 True
13 0 17 True
13 0 9 True
13 0 1 True
14 0 17 True
14 0 9 True
14 0 25 True
14 0 1 True
17 0 25 True
17 0 17 True
17 0 9 True
17 0 1 True
18 0 1 True
18 0 17 True
18 0 25 True
21 0 17 True
21 0 25 True
21 0 1 True
21 0 9 True
22 0 25 True
22 0 1 True
22 0 9 True
22 0 17 True
25 0 25 True
29 0 17 True
29 0 9 True
29 0 1 True
30 0 1 True
30 0 9 True
30 0 17 True
5 5 0 True
13 5 0 True
21 5 0 True
20 2 9 True
3 1 8 False
3 1 16 False
3 1 24 False
11 1 8 False
11 1 16 False
11 1 24 False
19 1 16 False
19 1 24 False
27 1 8 False
27 1 16 False
27 1 24 False
7 1 8 False
7 1 16 False
7 1 24 False
15 1 8 False
15 1 16 False
15 1 24 False
23 1 8 False
23 1 16 False
23 1 24 False
31 1 0 False
31 1 8 False
31 1 16 False
25 5 8 False
26 3 8 False
26 3 24 False
31 3 24 True
19 3 8 True
27 3 0 True
23 3 0 True
19 3 0 True
15 3 0 True
11 3 0 True
7 3 0 True
3 3 0 True
1 7 0 True
1 7 8 True
17 0 2 True
9 0 26 True
9 0 2 True
9 0 10 True
9 0 18 True
4 0 26 True
3 0 26 True
0 1 10 True
0 1 26 True
0 1 18 True
25 3 8 False
21 3 8 False
29 3 24 False
27 5 8 False
27 5 24 False
31 0 25 True
29 2 25 True
25 0 2 True
25 0 10 True
25 0 18 True
25 0 26 True
27 0 25 True
27 0 17 True
27 0 9 True
27 0 1 True
31 0 17 True
31 0 9 True
31 0 1 True
1 2 17 True
1 2 9 True
1 2 10 True
1 4 9 True
1 2 18 True
1 2 25 True
1 2 26 True
1 4 17 True
1 4 25 True
1 2 1 True
1 4 1 True
19 0 9 True
19 4 9 True
20 1 9 True
20 4 9 True
27 4 25 True
28 1 25 True
28 4 25 True
0 1 1 True
0 1 9 True
0 1 17 True
0 1 25 True
25 4 9 True
25 2 9 True
3 0 9 True
3 0 1 True
3 0 17 True
3 0 25 True
5 0 10 True
5 0 2 True
5 0 18 True
7 0 25 True
7 0 1 True
7 0 9 True
7 0 17 True
11 0 2 True
11 0 10 True
11 0 18 True
11 0 1 True
11 0 25 True
11 0 17 True
11 0 9 True
11 0 26 True
15 0 1 True
15 0 9 True
15 0 17 True
15 0 25 True
17 0 10 True
17 0 18 True
17 0 26 True
19 0 2 True
19 0 25 True
19 0 1 True
19 0 17 True
23 0 25 True
23 0 17 True
23 0 9 True
23 0 1 True
8 4 1 False
16 4 1 False
24 4 1 False
24 4 9 False
8 2 1 False
16 2 1 False
24 2 1 False
24 2 9 False
4 2 1 False
12 2 1 False
20 2 1 False
2 4 1 False
10 4 1 False
18 4 1 False
26 4 1 False
21 5 8 False
29 5 24 False
30 2 25 True
26 2 9 True
1 1 18 True
1 1 26 True
1 1 10 True
5 0 26 True
26 2 25 True
18 2 9 True
0 6 1 True
0 6 9 True
27 3 8 False
27 3 24 False
0 1 2 False
30 1 25 True
29 1 25 True
28 3 25 True
26 1 17 True
26 1 9 True
26 1 1 True
20 3 9 True
1 1 1 True
1 1 9 True
1 1 17 True
1 1 25 True
26 1 25 True
25 1 1 True
25 1 9 True
25 1 17 True
18 5 9 True
18 1 9 True
0 3 17 True
0 3 25 True
0 5 25 True
0 5 1 True
0 3 9 True
0 5 9 True
0 3 1 True
0 5 17 True
29 4 25 True
26 5 9 True
26 5 25 True
0 3 26 True
0 3 10 True
0 3 18 True
8 1 1 False
8 1 9 False
8 1 17 False
8 1 25 False
16 1 1 False
16 1 9 False
16 1 17 False
16 1 25 False
24 1 1 False
24 1 9 False
24 1 17 False
24 1 25 False
4 1 1 False
4 1 9 False
4 1 17 False
4 1 25 False
12 1 1 False
12 1 9 False
12 1 17 False
12 1 25 False
20 1 1 False
20 1 17 False
20 1 25 False
28 1 1 False
28 1 9 False
28 1 17 False
9 4 1 False
17 4 1 False
25 4 1 False
9 2 1 False
17 2 1 False
25 2 1 False
5 2 1 False
13 2 1 False
21 2 1 False
21 2 9 False
3 4 1 False
11 4 1 False
19 4 1 False
27 4 1 False
27 4 9 False
4 4 1 False
12 4 1 False
20 4 1 False
2 1 2 False
2 1 10 False
2 1 18 False
31 1 25 True
27 1 25 True
19 1 9 True
1 5 1 True
1 5 9 True
1 5 17 True
1 5 25 True
2 2 1 False
10 2 1 False
18 2 1 False
26 2 1 False
6 2 1 False
14 2 1 False
22 2 1 False
1 1 2 False
2 1 26 False
8 1 2 False
8 1 10 False
8 1 18 False
8 1 26 False
16 1 2 False
31 2 25 True
29 3 25 True
27 2 25 True
19 5 9 True
19 2 9 True
1 6 1 True
1 3 1 True
1 3 17 True
1 3 9 True
1 3 25 True
1 6 9 True
25 5 9 True
25 3 9 True
0 0 19 True
0 0 27 True
0 0 3 True
0 0 11 True
9 1 1 False
9 1 9 False
9 1 17 False
9 1 25 False
17 1 1 False
17 1 9 False
17 1 17 False
17 1 25 False
25 1 25 False
5 1 1 False
5 1 9 False
5 1 17 False
5 1 25 False
13 1 1 False
13 1 9 False
13 1 17 False
13 1 25 False
21 1 1 False
21 1 9 False
21 1 17 False
21 1 25 False
29 1 1 False
29 1 9 False
29 1 17 False
2 1 1 False
2 1 9 False
2 1 17 False
2 1 25 False
10 1 1 False
10 1 9 False
10 1 17 False
10 1 25 False
18 1 1 False
18 1 17 False
18 1 25 False
6 1 1 False
6 1 9 False
6 1 17 False
6 1 25 False
14 1 1 False
14 1 9 False
14 1 17 False
14 1 25 False
22 1 1 False
22 1 9 False
22 1 17 False
22 1 25 False
30 1 1 False
30 1 9 False
30 1 17 False
8 5 1 False
16 5 1 False
24 5 1 False
24 5 9 False
8 3 1 False
16 3 1 False
24 3 1 False
24 3 9 False
4 3 1 False
12 3 1 False
20 3 1 False
2 5 1 False
10 5 1 False
18 5 1 False
26 5 1 False
28 5 25 True
27 5 25 True
20 5 9 True
1 3 18 True
1 3 10 True
1 3 26 True
2 0 19 True
2 0 3 True
2 0 11 True
25 1 2 True
25 1 18 True
25 1 10 True
5 4 1 False
13 4 1 False
21 4 1 False
21 4 9 False
3 1 2 False
3 1 10 False
3 1 18 False
10 1 2 False
10 1 10 False
10 1 18 False
10 1 26 False
18 1 2 False
16 1 10 False
16 1 18 False
16 1 26 False
24 1 2 False
24 1 10 False
24 1 18 False
24 1 26 False
4 1 2 False
4 1 10 False
4 1 18 False
1 0 19 True
1 0 27 True
1 0 11 True
1 0 3 True
30 3 25 True
26 3 25 True
18 3 9 True
0 7 1 True
0 7 9 True
26 3 9 True
16 0 3 True
8 0 27 True
8 0 19 True
8 0 11 True
8 0 3 True
2 0 27 True
3 1 1 False
3 1 9 False
3 1 17 False
3 1 25 False
11 1 1 False
11 1 9 False
11 1 17 False
11 1 25 False
19 1 1 False
19 1 17 False
19 1 25 False
27 1 1 False
27 1 9 False
27 1 17 False
7 1 1 False
7 1 9 False
7 1 17 False
7 1 25 False
15 1 1 False
15 1 9 False
15 1 17 False
15 1 25 False
23 1 1 False
23 1 9 False
23 1 17 False
23 1 25 False
31 1 1 False
31 1 9 False
31 1 17 False
9 5 1 False
17 5 1 False
29 5 25 True
24 0 3 True
24 0 27 True
24 0 19 True
24 0 11 True
18 0 3 True
16 0 11 True
16 0 27 True
16 0 19 True
10 0 27 True
10 0 19 True
10 0 11 True
10 0 3 True
4 0 19 True
4 0 3 True
4 0 11 True
3 0 3 True
3 0 11 True
3 0 19 True
0 2 27 True
0 2 19 True
0 2 11 True
25 5 1 False
9 3 1 False
17 3 1 False
25 3 1 False
5 3 1 False
13 3 1 False
21 3 1 False
21 3 9 False
3 5 1 False
11 5 1 False
19 5 1 False
27 5 1 False
3 2 1 False
11 2 1 False
19 2 1 False
27 2 1 False
27 2 9 False
7 2 1 False
15 2 1 False
23 2 1 False
3 1 26 False
9 1 2 False
9 1 10 False
9 1 18 False
9 1 26 False
17 1 2 False
31 3 25 True
27 3 25 True
19 3 9 True
1 7 1 True
1 7 9 True
17 0 3 True
9 0 19 True
9 0 27 True
9 0 3 True
9 0 11 True
3 0 27 True
0 1 19 True
0 1 11 True
0 1 27 True
25 0 11 True
25 0 19 True
25 0 3 True
4 0 27 True
5 0 19 True
5 0 3 True
5 0 11 True
6 0 26 True
6 0 18 True
6 0 2 True
6 0 10 True
11 0 11 True
11 0 27 True
11 0 3 True
11 0 19 True
12 0 26 True
12 0 2 True
12 0 10 True
12 0 18 True
17 0 11 True
17 0 27 True
17 0 19 True
18 0 26 True
18 0 10 True
18 0 18 True
19 0 3 True
20 0 10 True
20 0 26 True
20 0 2 True
20 0 18 True
25 0 27 True
26 0 10 True
26 0 26 True
26 0 18 True
26 0 2 True
28 0 26 True
28 0 18 True
28 0 10 True
28 0 2 True
1 2 27 True
1 2 11 True
1 2 19 True
2 6 0 True
27 5 9 False
4 5 1 False
12 5 1 False
20 5 1 False
11 1 2 False
11 1 10 False
11 1 18 False
11 1 26 False
19 1 2 False
17 1 10 False
17 1 18 False
17 1 26 False
25 1 26 False
5 1 2 False
5 1 10 False
5 1 18 False
4 1 26 False
2 3 1 False
10 3 1 False
18 3 1 False
26 3 1 False
6 3 1 False
14 3 1 False
22 3 1 False
1 1 11 True
1 1 27 True
1 1 19 True
14 0 18 True
14 0 10 True
14 0 2 True
5 5 1 False
13 5 1 False
21 5 1 False
21 5 9 False
5 1 26 False
0 6 16 True
0 3 11 True
0 6 24 True
0 3 27 True
0 3 19 True
21 0 26 True
21 0 18 True
21 0 10 True
21 0 2 True
19 0 10 True
19 0 18 True
19 0 26 True
14 0 26 True
13 0 2 True
13 0 10 True
13 0 18 True
13 0 26 True
7 0 2 True
7 0 26 True
7 0 18 True
7 0 10 True
5 0 27 True
26 2 10 True
8 6 0 True
3 6 0 True
30 0 2 True
30 0 26 True
30 0 10 True
30 0 18 True
29 0 26 True
29 0 18 True
29 0 10 True
29 0 2 True
27 0 18 True
27 0 2 True
27 0 10 True
27 0 26 True
22 0 26 True
22 0 2 True
22 0 10 True
22 0 18 True
3 3 1 False
11 3 1 False
19 3 1 False
27 3 1 False
27 3 9 False
7 3 1 False
15 3 1 False
23 3 1 False
0 1 3 False
24 6 0 True
16 6 0 True
14 4 0 True
10 6 0 True
6 4 0 True
15 0 10 True
15 0 2 True
15 0 18 True
25 2 10 True
0 4 10 True
2 1 3 False
2 1 11 False
2 1 19 False
26 1 18 True
26 1 10 True
26 1 2 True
26 6 0 True
18 6 0 True
9 6 0 True
4 6 0 True
2 7 0 True
1 6 16 True
1 6 24 True
1 3 27 True
1 3 19 True
1 3 11 True
31 0 18 True
31 0 10 True
31 0 2 True
31 0 26 True
23 0 2 True
23 0 26 True
23 0 18 True
23 0 10 True
15 0 26 True
25 1 11 True
25 1 3 True
25 1 19 True
18 6 8 True
0 4 18 True
0 4 26 True
1 1 3 False
2 1 27 False
8 1 3 False
8 1 11 False
8 1 19 False
8 1 27 False
16 1 3 False
24 2 10 False
24 2 18 False
0 0 12 True
25 6 0 True
22 4 0 True
17 6 0 True
15 4 0 True
12 6 0 True
11 6 0 True
7 4 0 True
6 6 0 True
1 4 10 True
8 0 20 True
8 0 12 True
8 0 4 True
30 4 24 True
0 6 10 True
0 0 28 True
0 0 20 True
0 0 4 True
3 1 3 False
3 1 11 False
3 1 19 False
10 1 3 False
10 1 11 False
10 1 19 False
10 1 27 False
18 1 3 False
16 1 11 False
16 1 19 False
16 1 27 False
24 1 3 False
24 1 11 False
24 1 19 False
24 1 27 False
4 1 3 False
4 1 11 False
4 1 19 False
26 2 18 False
26 4 10 True
26 3 10 True
19 6 8 True
27 6 0 True
19 6 0 True
8 7 0 True
5 6 0 True
3 7 0 True
1 4 18 True
1 4 26 True
0 7 24 True
0 6 18 True
0 7 16 True
0 6 26 True
3 1 27 False
9 1 3 False
9 1 11 False
9 1 19 False
9 1 27 False
17 1 3 False
25 2 18 False
24 6 8 False
24 6 16 False
23 4 0 True
20 6 0 True
16 7 0 True
14 5 0 True
14 6 0 True
13 6 0 True
10 7 0 True
7 6 0 True
6 5 0 True
1 0 12 True
1 0 28 True
1 0 20 True
1 6 10 True
9 0 4 True
9 0 12 True
9 0 20 True
2 0 12 True
2 0 4 True
2 0 28 True
2 0 20 True
1 0 4 True
25 3 10 True
25 4 10 True
0 5 10 True
31 4 24 True
20 6 8 True
24 7 0 True
11 1 3 False
11 1 11 False
11 1 19 False
11 1 27 False
19 1 3 False
17 1 11 False
17 1 19 False
17 1 27 False
25 1 27 False
5 1 3 False
5 1 11 False
5 1 19 False
4 1 27 False
18 1 10 False
18 1 18 False
18 1 26 False
26 1 26 False
6 1 2 False
6 1 10 False
6 1 18 False
6 1 26 False
12 1 2 False
12 1 10 False
12 1 18 False
12 1 26 False
20 1 2 False
20 1 10 False
20 1 18 False
20 1 26 False
28 1 2 False
28 1 10 False
28 1 18 False
28 1 26 False
27 2 10 False
27 2 18 False
26 6 8 False
26 6 16 False
26 6 24 False
26 0 19 True
26 7 16 True
26 0 11 True
26 7 8 True
26 0 3 True
26 7 0 True
18 7 0 True
9 7 0 True
4 7 0 True
1 6 26 True
1 7 16 True
1 7 24 True
1 6 18 True
28 0 11 True
28 0 3 True
28 0 27 True
28 0 19 True
26 0 27 True
20 0 19 True
20 0 3 True
20 0 27 True
20 0 11 True
18 0 11 True
18 0 19 True
18 0 27 True
12 0 3 True
12 0 27 True
12 0 19 True
12 0 11 True
6 0 11 True
6 0 3 True
6 0 27 True
6 0 19 True
18 7 8 True
0 5 26 True
0 5 18 True
24 3 10 False
24 3 18 False
14 1 2 False
14 1 10 False
14 1 18 False
25 6 8 False
25 6 16 False
24 4 10 False
24 4 18 False
0 1 20 True
0 2 28 True
0 1 12 True
0 2 12 True
0 7 10 True
0 1 28 True
0 2 20 True
26 6 10 True
25 7 0 True
22 5 0 True
22 6 0 True
21 6 0 True
17 7 0 True
15 5 0 True
15 6 0 True
12 7 0 True
11 7 0 True
7 5 0 True
6 7 0 True
1 5 10 True
16 0 4 True
16 0 20 True
16 0 12 True
14 0 19 True
14 0 3 True
14 0 11 True
10 0 20 True
10 0 4 True
10 0 12 True
8 0 28 True
3 0 4 True
3 0 20 True
3 0 12 True
3 0 28 True
30 6 24 True
30 5 24 True
25 6 10 True
25 7 16 True
25 7 8 True
5 1 27 False
19 1 10 False
19 1 18 False
19 1 26 False
27 1 2 False
27 1 10 False
27 1 18 False
27 1 26 False
7 1 2 False
7 1 10 False
7 1 18 False
7 1 26 False
13 1 2 False
13 1 10 False
13 1 18 False
13 1 26 False
21 1 2 False
21 1 10 False
21 1 18 False
21 1 26 False
29 1 2 False
29 1 10 False
29 1 18 False
29 1 26 False
26 3 18 False
14 1 26 False
22 1 2 False
22 1 10 False
22 1 18 False
22 1 26 False
30 1 2 False
30 1 10 False
30 1 18 False
30 1 26 False
27 6 8 False
27 6 16 False
27 6 24 False
26 4 18 False
7 0 27 True
7 0 19 True
7 0 11 True
0 6 17 True
0 6 25 True
0 7 18 True
0 7 26 True
26 2 19 True
26 5 10 True
19 7 8 True
27 7 0 True
19 7 0 True
5 7 0 True
1 5 18 True
1 5 26 True
30 0 11 True
30 0 3 True
30 0 27 True
30 0 19 True
29 0 3 True
29 0 27 True
29 0 19 True
29 0 11 True
27 0 11 True
27 0 3 True
27 0 19 True
27 0 27 True
22 0 11 True
22 0 27 True
22 0 19 True
22 0 3 True
21 0 27 True
21 0 19 True
21 0 11 True
21 0 3 True
19 0 11 True
19 0 19 True
19 0 27 True
14 0 27 True
13 0 11 True
13 0 19 True
13 0 3 True
13 0 27 True
7 0 3 True
25 3 18 False
15 1 2 False
15 1 10 False
15 1 18 False
24 7 8 False
24 7 16 False
25 4 18 False
24 6 2 False
24 6 10 False
24 6 18 False
28 6 24 False
0 4 11 True
25 2 19 True
25 5 10 True
31 5 24 True
31 6 24 True
20 7 8 True
23 5 0 True
23 6 0 True
20 7 0 True
14 7 0 True
13 7 0 True
7 7 0 True
1 2 20 True
1 1 28 True
9 0 28 True
11 0 4 True
11 0 20 True
11 0 12 True
15 0 19 True
15 0 11 True
15 0 3 True
17 0 4 True
17 0 12 True
17 0 20 True
1 7 10 True
1 1 12 True
1 2 28 True
1 1 20 True
1 2 12 True
2 6 1 False
27 3 10 False
27 3 18 False
15 1 26 False
23 1 2 False
23 1 10 False
23 1 18 False
23 1 26 False
31 1 2 False
31 1 10 False
31 1 18 False
31 1 26 False
26 7 24 False
27 4 10 False
27 4 18 False
26 1 19 True
1 6 25 True
1 7 18 True
1 6 17 True
1 7 26 True
31 0 3 True
31 0 27 True
31 0 11 True
31 0 19 True
24 0 4 True
23 0 27 True
23 0 19 True
23 0 11 True
23 0 3 True
18 0 12 True
18 0 4 True
18 0 20 True
16 0 28 True
15 0 27 True
10 0 28 True
26 6 25 True
18 6 9 True
0 4 19 True
0 4 27 True
26 1 11 True
26 6 9 True
26 1 3 True
24 2 11 False
24 2 19 False
24 5 10 False
24 5 18 False
0 1 4 False
8 1 4 False
8 1 12 False
8 1 20 False
25 6 2 False
25 6 18 False
21 6 8 False
29 6 24 False
26 6 2 False
26 6 18 False
0 2 4 False
30 4 25 True
26 7 18 True
26 7 10 True
26 7 2 True
22 7 0 True
21 7 0 True
15 7 0 True
1 4 11 True
8 0 13 True
8 0 5 True
8 0 21 True
30 7 24 True
25 7 10 True
25 7 2 True
25 6 9 True
25 7 18 True
0 0 14 True
0 3 28 True
0 0 6 True
0 0 29 True
0 3 12 True
0 0 30 True
0 6 11 True
0 0 21 True
0 0 5 True
0 0 22 True
0 0 13 True
0 3 20 True
3 6 1 False
26 2 11 False
8 6 1 False
27 7 8 False
27 7 16 False
27 7 24 False
26 5 18 False
0 6 27 True
0 7 25 True
0 7 17 True
27 6 25 True
26 3 19 True
26 4 19 True
26 0 4 True
19 6 9 True
19 0 20 True
1 4 19 True
1 4 27 True
25 0 4 True
19 0 4 True
19 0 12 True
18 0 28 True
17 0 28 True
11 0 28 True
2 0 30 True
2 0 22 True
2 0 14 True
2 0 6 True
0 6 19 True
25 2 11 False
10 6 1 False
16 6 1 False
24 6 1 False
24 6 9 False
24 6 17 False
6 4 1 False
14 4 1 False
25 5 18 False
1 1 4 False
9 1 4 False
9 1 12 False
9 1 20 False
24 7 2 False
24 7 10 False
24 7 18 False
28 7 24 False
2 1 4 False
2 1 12 False
2 1 20 False
2 1 28 False
27 6 2 False
27 6 10 False
27 6 18 False
1 2 4 False
31 7 24 True
31 4 25 True
28 6 25 True
20 6 9 True
23 7 0 True
1 0 29 True
1 0 5 True
1 0 13 True
1 0 21 True
1 6 11 True
1 3 12 True
1 3 20 True
1 3 28 True
1 0 6 True
1 0 14 True
1 0 22 True
1 0 30 True
9 0 5 True
9 0 13 True
9 0 21 True
8 0 6 True
2 0 29 True
2 0 21 True
2 0 13 True
2 0 5 True
25 3 19 True
25 4 19 True
0 5 11 True
0 2 6 True
0 2 14 True
0 2 22 True
0 2 30 True
18 1 11 False
18 1 19 False
18 1 27 False
26 1 27 False
6 1 3 False
6 1 11 False
6 1 19 False
6 1 27 False
12 1 3 False
12 1 11 False
12 1 19 False
12 1 27 False
20 1 3 False
20 1 11 False
20 1 19 False
20 1 27 False
28 1 3 False
28 1 11 False
28 1 19 False
28 1 27 False
2 7 1 False
27 2 11 False
27 2 19 False
9 6 1 False
18 6 1 False
26 6 1 False
26 6 17 False
4 6 1 False
27 5 10 False
27 5 18 False
26 7 9 True
26 7 1 True
1 6 19 True
1 7 17 True
1 6 27 True
1 7 25 True
27 0 4 True
19 0 28 True
3 0 22 True
3 0 14 True
3 0 6 True
3 0 30 True
26 7 25 True
18 1 20 True
18 7 9 True
0 5 19 True
